  -9744.0000000000000              172
  -10596.000000000000              300
  -10256.000000000000             1100
  -10692.000000000000             1098
  -10624.000000000000              800
  -10392.000000000000              870
  -10464.000000000000              774
  -10348.000000000000              724
  -10168.000000000000              830
  -10340.000000000000             1328
  -10756.000000000000             1848
  -10388.000000000000             1854
  -10248.000000000000             1316
  -10004.000000000000             1176
  -9956.0000000000000             1290
  -10240.000000000000              618
  -10304.000000000000              888
  -10092.000000000000              320
  -10212.000000000000              -68
  -10172.000000000000             -112
  -10172.000000000000              254
  -10080.000000000000             -426
  -10256.000000000000              -26
  -10476.000000000000             -404
  -10228.000000000000             -280
  -10112.000000000000               -4
  -10020.000000000000             -272
  -10456.000000000000              -20
  -10340.000000000000              620
  -10512.000000000000              300
  -10268.000000000000              314
  -10032.000000000000              702
  -10272.000000000000              244
  -10500.000000000000              932
  -10424.000000000000              772
  -10268.000000000000             1152
  -10156.000000000000             1362
  -10508.000000000000             1000
  -10356.000000000000              632
  -10288.000000000000              354
  -10568.000000000000              648
  -10208.000000000000              828
  -10484.000000000000              972
  -10728.000000000000              324
  -10488.000000000000              612
  -10276.000000000000              -66
  -10404.000000000000              128
  -10212.000000000000              428
  -10184.000000000000              108
  -10468.000000000000              -66
  -10356.000000000000              506
  -10220.000000000000               50
  -10292.000000000000             -406
  -10236.000000000000               40
  -10148.000000000000               10
  -9996.0000000000000             -254
  -10304.000000000000              -92
  -10276.000000000000             -388
  -10776.000000000000            -1702
  -10912.000000000000            -1136
  -10392.000000000000            -1882
  -10220.000000000000            -1670
  -10252.000000000000            -1442
  -10308.000000000000            -1136
  -10124.000000000000             -662
  -10376.000000000000             -704
  -10684.000000000000             -914
  -10252.000000000000             -806
  -10056.000000000000             -536
  -10360.000000000000              144
  -10528.000000000000             -422
  -10072.000000000000             -308
  -10036.000000000000             -312
  -10448.000000000000             -730
  -10556.000000000000             -440
  -10528.000000000000             -782
  -10344.000000000000            -1092
  -10144.000000000000             -844
  -10176.000000000000            -1148
  -10360.000000000000             -914
  -10080.000000000000             -704
  -10224.000000000000             -530
  -10068.000000000000              -42
  -9992.0000000000000              204
  -10036.000000000000             -130
  -10376.000000000000             -318
  -10288.000000000000               38
  -10316.000000000000              100
  -10724.000000000000              -84
  -10576.000000000000             -218
  -10476.000000000000             -214
  -10476.000000000000               28
  -10148.000000000000             -510
  -10800.000000000000             -568
  -10516.000000000000             -694
  -10412.000000000000             -254
  -10452.000000000000              -44
  -10376.000000000000             -350
  -10252.000000000000             -420
  -10372.000000000000             -298
  -10464.000000000000              -18
  -10324.000000000000               18
  -9928.0000000000000             -258
  -10640.000000000000             -256
  -10492.000000000000             -296
  -10528.000000000000             -624
  -10312.000000000000             -758
  -10596.000000000000              -32
  -10364.000000000000               62
  -10320.000000000000              574
  -10140.000000000000               90
  -10168.000000000000             -134
  -9992.0000000000000              240
  -10244.000000000000             -114
  -10308.000000000000              230
  -10176.000000000000              148
  -10056.000000000000              476
  -9952.0000000000000              298
  -10224.000000000000              -62
  -10400.000000000000             -168
  -10040.000000000000              -98
  -10444.000000000000              228
  -9932.0000000000000              232
  -10320.000000000000              566
  -10188.000000000000              710
  -10140.000000000000              240
  -10212.000000000000              816
  -10500.000000000000              710
  -10076.000000000000              330
  -10092.000000000000              244
  -10148.000000000000              602
  -10124.000000000000              132
  -10192.000000000000              396
  -10592.000000000000             1136
  -10232.000000000000              632
  -10040.000000000000             1106
  -10312.000000000000              522
  -9948.0000000000000              570
  -10196.000000000000              708
  -10172.000000000000              664
  -10176.000000000000              256
  -10128.000000000000             -120
  -10400.000000000000               44
  -10368.000000000000             -226
  -10144.000000000000              340
  -9832.0000000000000              950
  -10124.000000000000              608
  -10000.000000000000              518
  -10116.000000000000               36
  -10264.000000000000              196
  -10424.000000000000              -52
  -10548.000000000000             -270
  -10316.000000000000             -772
  -10384.000000000000            -1248
  -10276.000000000000            -1418
  -10172.000000000000            -1482
  -9964.0000000000000            -1010
  -10268.000000000000            -1374
  -10356.000000000000            -1728
  -10296.000000000000            -1138
  -9968.0000000000000             -706
  -10268.000000000000             -714
  -10220.000000000000             -372
  -10256.000000000000             -732
  -10660.000000000000             -812
  -10604.000000000000             -786
  -10080.000000000000             -140
  -10796.000000000000             -446
  -10312.000000000000             -162
  -10288.000000000000              316
  -10424.000000000000              324
  -10660.000000000000              -70
  -10188.000000000000             -390
  -10336.000000000000             -726
  -10144.000000000000            -1004
  -10132.000000000000             -506
  -10232.000000000000               32
  -10436.000000000000               30
  -10648.000000000000              -30
  -10360.000000000000              -32
  -10548.000000000000              600
  -10116.000000000000              634
  -10164.000000000000              842
  -10188.000000000000             1112
  -9972.0000000000000             1140
  -10316.000000000000              968
  -10244.000000000000             1366
  -10312.000000000000              982
  -10236.000000000000              368
  -10332.000000000000              470
  -10640.000000000000              580
  -10188.000000000000              -68
  -9984.0000000000000              -94
  -10248.000000000000             -178
  -10280.000000000000             -524
  -10208.000000000000             -264
  -10664.000000000000             -540
  -9856.0000000000000             -230
  -10472.000000000000              128
  -10144.000000000000             -306
  -10156.000000000000              -10
  -10256.000000000000             1154
  -10212.000000000000              248
  -10268.000000000000              -80
  -10356.000000000000               68
  -10016.000000000000              -88
  -10324.000000000000             -298
  -10284.000000000000             -630
  -10504.000000000000             -844
  -10008.000000000000            -1050
  -10368.000000000000             -542
  -10568.000000000000              -72
  -10408.000000000000             -558
  -10376.000000000000              348
  -10304.000000000000              498
  -10108.000000000000              328
  -10604.000000000000              460
  -10204.000000000000              300
  -10416.000000000000              164
  -10068.000000000000              506
  -9928.0000000000000              358
  -9976.0000000000000             -302
  -9896.0000000000000              -60
  -9916.0000000000000              -66
  -10248.000000000000              278
  -10640.000000000000              414
  -10528.000000000000              786
  -10604.000000000000              800
  -10292.000000000000              560
  -9720.0000000000000              494
  -10320.000000000000              894
  -10156.000000000000              746
  -10660.000000000000              774
